police_division,avg_distance_km,crime_count
HOLLYWOOD,2.076,224340
VAN NUYS,2.953,210134
SOUTHWEST,2.191,188901
WILSHIRE,2.593,185996
77TH STREET,1.717,171827
OLYMPIC,1.724,170897
NORTH HOLLYWOOD,2.643,167854
PACIFIC,3.85,161359
CENTRAL,0.992,153871
RAMPART,1.535,152736
SOUTHEAST,2.422,152176
WEST VALLEY,3.036,138643
TOPANGA,3.297,138217
FOOTHILL,4.251,134896
HARBOR,3.703,126747
HOLLENBECK,2.68,115837
WEST LOS ANGELES,2.792,115781
NEWTON,1.635,111110
NORTHEAST,3.624,108109
MISSION,3.691,103355
DEVONSHIRE,2.825,77094
